"name","rank","change_in_rank","companyRevenue","companyProfit","companySize"
"Northwestern Mutual","97","-7","[{""revenues"":""36751.2"",""revenuePercentChange"":""8.8""}]","[{""profits"":""977.8"",""profitPercentChange"":""130.1""}]","[{""assets"":""334653.8"",""marketValue"":""0.0"",""employeeCount"":""7585""}]"
"Nucor","98","51","[{""revenues"":""36483.9"",""revenuePercentChange"":""81.2""}]","[{""profits"":""6827.5"",""profitPercentChange"":""846.3""}]","[{""assets"":""25823.1"",""marketValue"":""39954.0"",""employeeCount"":""28800""}]"
"Exelon","99","-7","[{""revenues"":""36347.0"",""revenuePercentChange"":""10.0""}]","[{""profits"":""1706.0"",""profitPercentChange"":""-13.1""}]","[{""assets"":""133013.0"",""marketValue"":""46683.9"",""employeeCount"":""31518""}]"
"Massachusetts Mutual Life Insurance","100","23","[{""revenues"":""35899.5"",""revenuePercentChange"":""51.7""}]","[{""profits"":""319.3"",""profitPercentChange"":""0.0""}]","[{""assets"":""383292.4"",""marketValue"":""0.0"",""employeeCount"":""10052""}]"
"Northrop Grumman","101","-15","[{""revenues"":""35667.0"",""revenuePercentChange"":""-3.1""}]","[{""profits"":""7005.0"",""profitPercentChange"":""119.7""}]","[{""assets"":""42579.0"",""marketValue"":""69811.9"",""employeeCount"":""88000""}]"
"3M","102","-6","[{""revenues"":""35355.0"",""revenuePercentChange"":""9.9""}]","[{""profits"":""5921.0"",""profitPercentChange"":""10.0""}]","[{""assets"":""47072.0"",""marketValue"":""84738.3"",""employeeCount"":""95000""}]"
"Travelers","103","-5","[{""revenues"":""34816.0"",""revenuePercentChange"":""8.9""}]","[{""profits"":""3662.0"",""profitPercentChange"":""35.8""}]","[{""assets"":""120466.0"",""marketValue"":""44129.4"",""employeeCount"":""30492""}]"
"Arrow Electronics","104","-2","[{""revenues"":""34477.0"",""revenuePercentChange"":""20.2""}]","[{""profits"":""1108.2"",""profitPercentChange"":""89.6""}]","[{""assets"":""19535.5"",""marketValue"":""7951.3"",""employeeCount"":""20700""}]"
"Honeywell International","105","-11","[{""revenues"":""34392.0"",""revenuePercentChange"":""5.4""}]","[{""profits"":""5542.0"",""profitPercentChange"":""16.0""}]","[{""assets"":""64470.0"",""marketValue"":""133381.0"",""employeeCount"":""99000""}]"
"Dollar General","106","-15","[{""revenues"":""34220.4"",""revenuePercentChange"":""1.4""}]","[{""profits"":""2399.2"",""profitPercentChange"":""-9.6""}]","[{""assets"":""26327.4"",""marketValue"":""50953.0"",""employeeCount"":""163000""}]"
"Qualcomm","107","17","[{""revenues"":""33566.0"",""revenuePercentChange"":""42.6""}]","[{""profits"":""9043.0"",""profitPercentChange"":""74.0""}]","[{""assets"":""41240.0"",""marketValue"":""172228.1"",""employeeCount"":""45000""}]"
"Capital One Financial","108","-9","[{""revenues"":""32033.0"",""revenuePercentChange"":""1.2""}]","[{""profits"":""12390.0"",""profitPercentChange"":""356.5""}]","[{""assets"":""432381.0"",""marketValue"":""53260.4"",""employeeCount"":""50767""}]"
"TD Synnex","109","8","[{""revenues"":""31614.2"",""revenuePercentChange"":""28.1""}]","[{""profits"":""395.1"",""profitPercentChange"":""-25.3""}]","[{""assets"":""27666.4"",""marketValue"":""9853.6"",""employeeCount"":""27000""}]"
"Philip Morris International","110","-9","[{""revenues"":""31405.0"",""revenuePercentChange"":""9.4""}]","[{""profits"":""9109.0"",""profitPercentChange"":""13.1""}]","[{""assets"":""41290.0"",""marketValue"":""145614.7"",""employeeCount"":""69600""}]"
"World Fuel Services","111","36","[{""revenues"":""31337.0"",""revenuePercentChange"":""53.9""}]","[{""profits"":""73.7"",""profitPercentChange"":""-32.8""}]","[{""assets"":""5942.4"",""marketValue"":""1715.5"",""employeeCount"":""4414""}]"
